id,time,logscale,organism,control,rep1,rep2,rep3
Nissimov2020a,0,FALSE,H,FALSE,2.56E+06,3.40E+06,2.80E+06
Nissimov2020a,4,FALSE,H,FALSE,2.78E+06,3.86E+06,2.97E+06
Nissimov2020a,8,FALSE,H,FALSE,2.98E+06,2.68E+06,2.81E+06
Nissimov2020a,24,FALSE,H,FALSE,4.15E+06,3.99E+06,4.06E+06
Nissimov2020a,48,FALSE,H,FALSE,5.59E+06,5.12E+06,4.29E+06
Nissimov2020a,72,FALSE,H,FALSE,4.20E+06,4.81E+06,9.70E+05
Nissimov2020a,96,FALSE,H,FALSE,1.19E+06,2.06E+06,2.75E+05
Nissimov2020a,120,FALSE,H,FALSE,3.02E+05,5.22E+05,7.58E+04
Nissimov2020a,0,FALSE,V,FALSE,3886000,3326000,3320000
Nissimov2020a,4,FALSE,V,FALSE,3905000,3865000,3299000
Nissimov2020a,8,FALSE,V,FALSE,4469000,9286000,6156000
Nissimov2020a,24,FALSE,V,FALSE,8629000,6000000,6079000
Nissimov2020a,48,FALSE,V,FALSE,16978000,12940000,22055000
Nissimov2020a,72,FALSE,V,FALSE,132831000,54143000,128768000
Nissimov2020a,96,FALSE,V,FALSE,188063000,206695000,133007000
Nissimov2020a,120,FALSE,V,FALSE,145785000,124186000,130806000
Nissimov2020b,0,FALSE,H,FALSE,3.02E+06,3.17E+06,2.64E+06
Nissimov2020b,4,FALSE,H,FALSE,3.13E+06,4.09E+06,2.62E+06
Nissimov2020b,8,FALSE,H,FALSE,2.97E+06,2.67E+06,3.12E+06
Nissimov2020b,24,FALSE,H,FALSE,4.30E+06,3.92E+06,4.92E+06
Nissimov2020b,48,FALSE,H,FALSE,5.79E+06,4.39E+06,3.93E+06
Nissimov2020b,72,FALSE,H,FALSE,2.92E+06,1.02E+06,1.55E+06
Nissimov2020b,96,FALSE,H,FALSE,3.27E+05,1.44E+05,1.61E+05
Nissimov2020b,120,FALSE,H,FALSE,2.49E+05,1.27E+05,1.05E+05
Nissimov2020b,0,FALSE,V,FALSE,3057000,2081000,2943000
Nissimov2020b,4,FALSE,V,FALSE,2754000,3770000,2825000
Nissimov2020b,8,FALSE,V,FALSE,3506000,3585000,3802000
Nissimov2020b,24,FALSE,V,FALSE,5867000,5002000,6611000
Nissimov2020b,48,FALSE,V,FALSE,15151000,30757000,21573000
Nissimov2020b,72,FALSE,V,FALSE,108010000,211786000,161881000
Nissimov2020b,96,FALSE,V,FALSE,176800000,233773000,204492000
Nissimov2020b,120,FALSE,V,FALSE,88617000,145080000,111891000
Nissimov2020c,0,FALSE,H,FALSE,3.00E+06,2.00E+06,1.79E+06
Nissimov2020c,4,FALSE,H,FALSE,3.00E+06,3.00E+06,2.38E+06
Nissimov2020c,8,FALSE,H,FALSE,2.00E+06,3.00E+06,2.22E+06
Nissimov2020c,24,FALSE,H,FALSE,1.00E+06,6.00E+05,1.31E+06
Nissimov2020c,48,FALSE,H,FALSE,1.00E+05,3.00E+04,2.87E+05
Nissimov2020c,72,FALSE,H,FALSE,2.00E+04,2.00E+03,8.50E+03
Nissimov2020c,96,FALSE,H,FALSE,2.00E+04,7.00E+04,2.56E+05
Nissimov2020c,0,FALSE,V,FALSE,5044413.6,3492168,4260598.8
Nissimov2020c,4,FALSE,V,FALSE,4729041.6,5989760.4,5161332
Nissimov2020c,8,FALSE,V,FALSE,5435167.2,6390513.6,5635928.4
Nissimov2020c,24,FALSE,V,FALSE,57670770,59474544,24182109.6
Nissimov2020c,48,FALSE,V,FALSE,23828277.6,203276484,440750830.8
Nissimov2020c,72,FALSE,V,FALSE,339757947.6,219935817.6,436274856
Nissimov2020c,96,FALSE,V,FALSE,303920919.6,156870648,245534793.6
Nissimov2020d,0,FALSE,H,TRUE,2.70E+06,2.30E+06,1.76E+06
Nissimov2020d,4,FALSE,H,TRUE,2.51E+06,2.66E+06,2.38E+06
Nissimov2020d,8,FALSE,H,TRUE,2.39E+06,2.63E+06,2.22E+06
Nissimov2020d,24,FALSE,H,TRUE,4.02E+06,3.96E+06,3.87E+06
Nissimov2020d,48,FALSE,H,TRUE,6.48E+06,5.13E+06,4.99E+06
Nissimov2020d,72,FALSE,H,TRUE,6.94E+06,5.80E+06,5.82E+06
Nissimov2020d,96,FALSE,H,TRUE,6.59E+06,7.36E+06,7.70E+06
Nissimov2020d,120,FALSE,H,TRUE,8.96E+06,9.76E+06,7.50E+06